# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-10-26 14:37:52 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02175000 EDISTO RIVER NR GIVHANS, SC
# -----------------------------------------------------------------------------------
#
# Data provided for site 02175000
#            TS   parameter     Description
#        128196       00065     Gage height, feet
#        128198       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	128196_00065	128196_00065_cd	128198_00060	128198_00060_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	02175000	2016-06-01 00:00	EST	5.61	P	1860	P
USGS	02175000	2016-06-01 01:00	EST	5.61	P	1860	P
USGS	02175000	2016-06-01 02:00	EST	5.61	P	1860	P
USGS	02175000	2016-06-01 03:00	EST	5.60	P	1850	P
USGS	02175000	2016-06-01 04:00	EST	5.60	P	1850	P
USGS	02175000	2016-06-01 05:00	EST	5.60	P	1850	P
USGS	02175000	2016-06-01 06:00	EST	5.59	P	1850	P
USGS	02175000	2016-06-01 07:00	EST	5.59	P	1850	P
USGS	02175000	2016-06-01 08:00	EST	5.59	P	1850	P
USGS	02175000	2016-06-01 09:00	EST	5.59	P	1850	P
USGS	02175000	2016-06-01 10:00	EST	5.56	P	1830	P
USGS	02175000	2016-06-01 11:00	EST	5.58	P	1840	P
USGS	02175000	2016-06-01 12:00	EST	5.57	P	1840	P
USGS	02175000	2016-06-01 13:00	EST	5.57	P	1840	P
USGS	02175000	2016-06-01 14:00	EST	5.56	P	1830	P
USGS	02175000	2016-06-01 15:00	EST	5.56	P	1830	P
USGS	02175000	2016-06-01 16:00	EST	5.55	P	1830	P
USGS	02175000	2016-06-01 17:00	EST	5.55	P	1830	P
USGS	02175000	2016-06-01 18:00	EST	5.54	P	1830	P
USGS	02175000	2016-06-01 19:00	EST	5.53	P	1820	P
